===============================================================================================================
                                    LISTAGEM DE ESTACIONAMENTOS                                              
===============================================================================================================

Nº    | Matrícula | Lugar | Entrada          | Saída           | Valor   
270    | 77-PZ-89   | 1L28  | 13/08/2025 09:03 | 13/08/2025 11:06 | 1.23 €
271    | 22-WA-69   | 2C25  | 16/10/2025 12:25 | 16/10/2025 14:46 | 1.41 €
272    | 40-SF-84   | 3B21  | 15/11/2025 11:16 | 15/11/2025 13:33 | 1.37 €
273    | 46-AV-99   | 2F15  | 25/03/2025 13:12 | 25/03/2025 18:25 | 3.13 €
274    | 97-QI-70   | 2W23  | 29/12/2025 09:31 | 29/12/2025 11:32 | 1.21 €
275    | 49-LA-29   | 1T22  | 05/04/2025 23:29 | 05/04/2025 23:30 | 0.01 €
276    | 73-RP-37   | 2Q36  | 24/08/2025 14:33 | 24/08/2025 16:41 | 1.28 €
277    | 43-XX-87   | 3Y12  | 06/11/2025 14:05 | 06/11/2025 16:09 | 1.24 €
278    | 28-FU-73   | 2U7   | 02/06/2025 10:59 | 02/06/2025 15:12 | 2.53 €
279    | 69-IR-85   | 1M13  | 01/05/2025 09:23 | 01/05/2025 13:46 | 2.63 €
280    | 99-ZF-58   | 2R10  | 13/07/2025 13:12 | 13/07/2025 15:33 | 1.41 €
281    | 17-OT-12   | 3U13  | 19/02/2025 16:29 | 19/02/2025 19:31 | 1.82 €
282    | 81-OO-50   | 3O27  | 24/02/2025 23:11 | 25/02/2025 04:26 | 10.58 €
283    | 85-IS-92   | 3S32  | 03/03/2025 15:09 | 03/03/2025 18:09 | 1.80 €
284    | 30-FM-90   | 3J24  | 26/10/2025 08:50 | 26/10/2025 10:00 | 0.70 €
285    | 26-VE-93   | 1B7   | 29/12/2025 15:01 | 29/12/2025 18:14 | 1.93 €
286    | 17-DG-59   | 2F7   | 15/08/2025 08:33 | 15/08/2025 09:49 | 0.76 €
287    | 50-HU-27   | 3W16  | 24/07/2025 11:49 | 24/07/2025 14:50 | 1.81 €
288    | 50-RY-87   | 1U12  | 21/10/2025 14:54 | 21/10/2025 19:06 | 2.52 €
289    | 38-RA-84   | 1J39  | 29/04/2025 10:04 | 29/04/2025 14:18 | 2.54 €
290    | 94-AG-73   | 3J35  | 21/06/2025 11:01 | 21/06/2025 14:27 | 2.06 €
291    | 99-GP-80   | 1W20  | 29/04/2025 08:11 | 29/04/2025 11:19 | 1.88 €
292    | 43-CW-42   | 2F30  | 25/10/2025 17:37 | 25/10/2025 19:54 | 1.37 €
293    | 83-CK-33   | 1M7   | 06/11/2025 15:14 | 06/11/2025 19:37 | 2.63 €
294    | 19-OX-86   | 3V32  | 15/10/2025 14:46 | 15/10/2025 19:14 | 2.68 €
295    | 22-XS-60   | 1O10  | 16/02/2025 16:36 | 16/02/2025 20:03 | 2.07 €
296    | 65-UY-73   | 2S25  | 24/07/2025 17:33 | 24/07/2025 22:45 | 2.90 €
297    | 65-RQ-43   | 3E7   | 04/08/2025 20:49 | 04/08/2025 23:50 | 1.26 €
298    | 70-DC-38   | 3C14  | 26/11/2025 18:16 | 26/11/2025 21:34 | 1.98 €
299    | 12-ME-32   | 3Z24  | 21/01/2025 15:39 | 21/01/2025 16:45 | 0.66 €
300    | 55-VQ-79   | 2V17  | 09/03/2025 08:32 | 09/03/2025 10:47 | 1.35 €
301    | 60-GL-93   | 1J24  | 04/05/2025 20:13 | 05/05/2025 00:19 | 10.77 €
302    | 64-VN-35   | 2B20  | 10/08/2025 21:36 | 10/08/2025 22:01 | 0.25 €
303    | 68-EY-14   | 2U7   | 16/10/2025 17:51 | 16/10/2025 18:52 | 0.61 €
304    | 99-UV-78   | 1E12  | 26/08/2025 14:57 | 26/08/2025 18:07 | 1.90 €
305    | 51-OG-24   | 2R20  | 13/11/2025 10:11 | 13/11/2025 10:25 | 0.14 €
306    | 93-KX-26   | 2O33  | 01/08/2025 23:02 | 02/08/2025 00:27 | 9.43 €
307    | 37-RF-81   | 2S39  | 15/06/2025 08:52 | 15/06/2025 10:59 | 1.27 €
308    | 40-TB-32   | 1I38  | 04/02/2025 22:34 | 05/02/2025 02:45 | 10.26 €
309    | 67-SF-11   | 2R6   | 23/05/2025 18:07 | 23/05/2025 20:09 | 1.22 €
310    | 46-JU-56   | 2H21  | 21/04/2025 15:32 | 21/04/2025 17:58 | 1.46 €
311    | 49-IK-40   | 1K9   | 08/02/2025 22:33 | 09/02/2025 01:49 | 9.98 €
312    | 19-LU-65   | 3P20  | 07/06/2025 13:46 | 07/06/2025 17:51 | 2.45 €
313    | 54-QO-84   | 2Z38  | 18/10/2025 18:39 | 18/10/2025 19:59 | 0.80 €
314    | 50-RK-45   | 2B8   | 13/12/2025 11:19 | 13/12/2025 15:47 | 2.68 €
315    | 36-YB-89   | 3V1   | 17/02/2025 11:22 | 17/02/2025 16:46 | 3.24 €
316    | 28-JY-49   | 3T25  | 01/07/2025 21:03 | 02/07/2025 00:27 | 10.31 €
317    | 45-OS-62   | 1B38  | 08/12/2025 10:43 | 08/12/2025 15:03 | 2.60 €
318    | 55-PZ-96   | 1Y22  | 24/06/2025 12:35 | 24/06/2025 16:57 | 2.62 €
319    | 11-CD-71   | 3A30  | 20/06/2025 12:58 | 20/06/2025 16:20 | 2.02 €
320    | 11-EK-45   | 1G18  | 11/05/2025 22:57 | 12/05/2025 02:59 | 10.21 €
321    | 39-YH-18   | 2O11  | 18/12/2025 12:19 | 18/12/2025 12:28 | 0.09 €
322    | 45-QR-46   | 3E36  | 26/05/2025 22:32 | 27/05/2025 01:57 | 10.03 €
323    | 61-LS-45   | 1J36  | 16/11/2025 15:02 | 16/11/2025 19:23 | 2.61 €
324    | 69-PG-83   | 2P39  | 06/12/2025 15:00 | 06/12/2025 17:02 | 1.22 €
325    | 69-SZ-25   | 2J20  | 21/06/2025 14:54 | 21/06/2025 16:09 | 0.75 €
326    | 23-AR-47   | 1X2   | 05/04/2025 14:26 | 05/04/2025 17:36 | 1.90 €
327    | 62-QZ-22   | 3J33  | 07/04/2025 16:17 | 07/04/2025 18:29 | 1.32 €
328    | 11-NH-42   | 1Z39  | 27/07/2025 18:29 | 27/07/2025 23:31 | 2.57 €
329    | 35-CB-66   | 1P3   | 17/01/2025 09:24 | 17/01/2025 13:25 | 2.41 €
330    | 33-QC-90   | 2V34  | 17/02/2025 16:31 | 17/02/2025 18:41 | 1.30 €
331    | 81-HA-78   | 2T19  | 09/06/2025 12:57 | 09/06/2025 15:09 | 1.32 €
332    | 90-LZ-95   | 1A11  | 08/05/2025 18:13 | 08/05/2025 18:42 | 0.29 €
333    | 30-SM-75   | 3P6   | 26/01/2025 22:56 | 27/01/2025 03:15 | 10.30 €
334    | 65-FV-41   | 2M32  | 13/02/2025 19:00 | 13/02/2025 23:09 | 2.15 €
335    | 63-LG-58   | 3Y18  | 06/05/2025 10:39 | 06/05/2025 11:39 | 0.60 €
336    | 27-DC-62   | 1Y2   | 06/09/2025 20:37 | 07/09/2025 00:53 | 10.70 €
337    | 77-JD-80   | 1D10  | 07/07/2025 08:19 | 07/07/2025 13:36 | 3.17 €
338    | 90-ZE-57   | 2N2   | 06/10/2025 19:15 | 06/10/2025 23:34 | 2.12 €
339    | 44-YY-42   | 3K15  | 21/08/2025 09:39 | 21/08/2025 12:03 | 1.44 €
340    | 64-RM-86   | 3D38  | 08/04/2025 16:20 | 08/04/2025 16:41 | 0.21 €
341    | 84-IV-74   | 1O16  | 04/07/2025 10:52 | 04/07/2025 11:15 | 0.23 €
342    | 22-GC-98   | 2T21  | 09/03/2025 13:14 | 09/03/2025 14:23 | 0.69 €
343    | 89-OU-41   | 3X17  | 13/08/2025 12:33 | 13/08/2025 13:50 | 0.77 €
344    | 67-NU-62   | 3E12  | 24/09/2025 18:46 | 24/09/2025 23:10 | 2.29 €
345    | 34-RL-21   | 3I2   | 06/04/2025 21:11 | 06/04/2025 21:13 | 0.02 €
346    | 77-VZ-78   | 3C26  | 20/08/2025 13:50 | 20/08/2025 15:18 | 0.88 €
347    | 93-ID-62   | 1C15  | 17/02/2025 10:18 | 17/02/2025 14:24 | 2.46 €
348    | 31-UA-26   | 1F27  | 23/03/2025 14:42 | 23/03/2025 15:54 | 0.72 €
349    | 93-QO-58   | 1P27  | 01/07/2025 14:48 | 01/07/2025 16:58 | 1.30 €
350    | 78-IW-39   | 1L8   | 14/05/2025 08:17 | 14/05/2025 08:29 | 0.12 €
351    | 10-VS-33   | 3S20  | 18/04/2025 11:26 | 18/04/2025 14:50 | 2.04 €
352    | 95-VY-60   | 1Q14  | 07/03/2025 16:09 | 07/03/2025 18:38 | 1.49 €
353    | 14-FF-91   | 3U5   | 03/03/2025 09:07 | 03/03/2025 10:17 | 0.70 €
354    | 52-EJ-94   | 2M39  | 13/01/2025 13:32 | 13/01/2025 15:53 | 1.41 €
355    | 84-YZ-63   | 2J1   | 05/06/2025 15:26 | 05/06/2025 16:38 | 0.72 €
356    | 54-ZQ-17   | 3C1   | 20/02/2025 18:23 | 20/02/2025 18:47 | 0.24 €
357    | 50-BW-48   | 2R8   | 01/01/2025 20:58 | 01/01/2025 21:23 | 0.25 €
358    | 86-MT-75   | 3E11  | 22/08/2025 20:43 | 22/08/2025 22:49 | 1.01 €
359    | 12-MW-25   | 3X4   | 20/12/2025 11:37 | 20/12/2025 14:59 | 2.02 €
360    | 61-KU-82   | 3U39  | 17/10/2025 12:48 | 17/10/2025 14:57 | 1.29 €
361    | 92-TR-19   | 2S28  | 11/10/2025 19:28 | 11/10/2025 19:32 | 0.04 €
362    | 79-FK-12   | 3K6   | 23/09/2025 13:58 | 23/09/2025 16:18 | 1.40 €
363    | 43-YW-93   | 1U24  | 04/08/2025 18:19 | 04/08/2025 19:46 | 0.87 €
364    | 61-DM-74   | 2U1   | 05/12/2025 10:32 | 05/12/2025 11:53 | 0.81 €
365    | 79-TI-14   | 1H10  | 26/12/2025 15:56 | 26/12/2025 18:10 | 1.34 €
366    | 54-HR-64   | 1X4   | 05/03/2025 15:20 | 05/03/2025 15:27 | 0.07 €
367    | 31-CO-55   | 3J6   | 21/03/2025 10:12 | 21/03/2025 13:25 | 1.93 €
368    | 45-XP-90   | 2R5   | 16/03/2025 14:02 | 16/03/2025 19:22 | 3.20 €
369    | 92-UD-84   | 3S35  | 03/12/2025 13:47 | 03/12/2025 15:13 | 0.86 €
370    | 10-BH-78   | 3X1   | 18/10/2025 09:20 | 18/10/2025 10:28 | 0.68 €
371    | 59-SC-83   | 2M21  | 06/11/2025 15:10 | 06/11/2025 16:14 | 0.64 €
372    | 27-BN-39   | 1N3   | 01/09/2025 21:31 | 02/09/2025 00:43 | 10.11 €
373    | 19-AY-74   | 3S5   | 15/02/2025 10:26 | 15/02/2025 15:41 | 3.15 €
374    | 88-NE-51   | 3H12  | 07/05/2025 15:54 | 07/05/2025 18:03 | 1.29 €
375    | 16-IX-68   | 1O10  | 06/01/2025 11:28 | 06/01/2025 12:43 | 0.75 €
376    | 76-DQ-70   | 3N21  | 25/07/2025 22:42 | 25/07/2025 22:53 | 0.05 €
377    | 78-FO-77   | 2S21  | 27/12/2025 22:35 | 28/12/2025 03:05 | 10.35 €
378    | 41-ME-95   | 3F7   | 05/07/2025 21:16 | 06/07/2025 02:34 | 10.81 €
379    | 26-JA-16   | 3S33  | 06/04/2025 16:22 | 06/04/2025 17:29 | 0.67 €
380    | 51-YF-13   | 1U22  | 20/01/2025 13:08 | 20/01/2025 15:35 | 1.47 €
381    | 73-UZ-87   | 1P14  | 06/09/2025 16:55 | 06/09/2025 19:19 | 1.44 €
382    | 56-CJ-83   | 1K38  | 15/08/2025 14:14 | 15/08/2025 18:33 | 2.59 €
383    | 45-JH-97   | 3A33  | 11/06/2025 19:13 | 11/06/2025 21:23 | 1.30 €
384    | 89-MW-78   | 3K29  | 10/11/2025 15:23 | 10/11/2025 19:50 | 2.67 €
385    | 55-SG-74   | 1O17  | 22/09/2025 10:13 | 22/09/2025 13:29 | 1.96 €
386    | 88-SE-65   | 2W29  | 28/03/2025 09:36 | 28/03/2025 12:05 | 1.49 €
387    | 59-PP-59   | 1W34  | 24/10/2025 11:36 | 24/10/2025 13:02 | 0.86 €
388    | 42-WS-39   | 1V31  | 10/01/2025 19:50 | 10/01/2025 20:04 | 0.14 €
389    | 53-VX-35   | 2Z18  | 03/10/2025 15:57 | 03/10/2025 19:09 | 1.92 €
390    | 62-XU-72   | 1C19  | 26/12/2025 10:04 | 26/12/2025 12:28 | 1.44 €
391    | 20-FP-22   | 3S7   | 27/06/2025 10:18 | 27/06/2025 11:32 | 0.74 €
392    | 69-QW-97   | 2O24  | 26/04/2025 17:06 | 26/04/2025 17:12 | 0.06 €
393    | 59-JM-97   | 3Q25  | 07/11/2025 11:04 | 07/11/2025 16:20 | 3.16 €
394    | 64-QH-63   | 1G38  | 20/12/2025 17:23 | 20/12/2025 20:30 | 1.87 €
395    | 44-ED-57   | 3Y33  | 03/09/2025 17:45 | 03/09/2025 21:51 | 2.46 €
396    | 59-PY-99   | 1U9   | 18/01/2025 08:32 | 18/01/2025 11:38 | 1.86 €
397    | 53-GB-65   | 2J40  | 06/06/2025 13:27 | 06/06/2025 18:45 | 3.18 €
398    | 60-SW-22   | 2M37  | 05/12/2025 22:34 | 06/12/2025 00:37 | 9.62 €
399    | 39-YS-85   | 2I9   | 09/02/2025 15:16 | 09/02/2025 16:34 | 0.78 €
400    | 35-UU-54   | 3O21  | 25/11/2025 21:54 | 26/11/2025 01:16 | 10.04 €
401    | 10-JT-55   | 1D30  | 04/05/2025 16:38 | 04/05/2025 19:00 | 1.42 €
402    | 83-YF-32   | 3A10  | 22/01/2025 17:17 | 22/01/2025 17:23 | 0.06 €
403    | 96-SY-92   | 1M5   | 23/04/2025 16:39 | 23/04/2025 20:03 | 2.04 €
404    | 31-SV-70   | 1X11  | 05/06/2025 09:07 | 05/06/2025 09:31 | 0.24 €
405    | 26-FX-84   | 2W37  | 15/07/2025 15:37 | 15/07/2025 19:44 | 2.47 €
406    | 25-BS-86   | 3F26  | 15/04/2025 13:31 | 15/04/2025 17:39 | 2.48 €
407    | 81-JM-68   | 3V26  | 26/05/2025 10:02 | 26/05/2025 14:17 | 2.55 €
408    | 18-JO-94   | 2I30  | 01/06/2025 08:24 | 01/06/2025 11:32 | 1.88 €
409    | 57-VB-74   | 2E4   | 17/10/2025 10:13 | 17/10/2025 13:27 | 1.94 €
410    | 55-RX-10   | 2Y7   | 22/05/2025 08:10 | 22/05/2025 09:24 | 0.74 €
411    | 22-MR-93   | 3N37  | 29/04/2025 10:20 | 29/04/2025 10:29 | 0.09 €
412    | 49-YH-65   | 2S15  | 19/04/2025 15:18 | 19/04/2025 20:47 | 3.29 €
413    | 11-CW-38   | 2T28  | 26/11/2025 23:23 | 27/11/2025 03:43 | 10.30 €
414    | 93-ZH-32   | 2P8   | 14/05/2025 19:25 | 15/05/2025 00:47 | 11.39 €
415    | 33-UX-26   | 2X1   | 01/06/2025 12:38 | 01/06/2025 13:01 | 0.23 €
416    | 94-TW-88   | 1G36  | 05/05/2025 16:46 | 05/05/2025 17:01 | 0.15 €
417    | 82-QO-98   | 3J30  | 04/11/2025 08:51 | 04/11/2025 09:53 | 0.62 €
418    | 19-FX-72   | 1A5   | 29/01/2025 16:30 | 29/01/2025 20:51 | 2.61 €
419    | 36-OV-98   | 2V17  | 29/08/2025 20:07 | 29/08/2025 20:28 | 0.21 €
420    | 43-QB-13   | 2D31  | 03/08/2025 20:35 | 03/08/2025 22:52 | 1.11 €
421    | 69-KP-15   | 1X25  | 26/01/2025 11:21 | 26/01/2025 16:26 | 3.05 €
422    | 47-SW-16   | 3F1   | 06/01/2025 23:02 | 06/01/2025 23:24 | 0.11 €
423    | 59-JQ-42   | 3S35  | 17/07/2025 14:31 | 17/07/2025 19:38 | 3.07 €
424    | 47-CC-55   | 3T13  | 19/11/2025 23:50 | 20/11/2025 04:51 | 10.51 €
425    | 62-EX-30   | 1H12  | 18/01/2025 14:19 | 18/01/2025 17:42 | 2.03 €
426    | 97-PV-90   | 1C16  | 24/10/2025 19:31 | 25/10/2025 00:47 | 11.33 €
427    | 87-XF-92   | 1P23  | 08/03/2025 18:27 | 08/03/2025 20:32 | 1.25 €
428    | 75-TS-63   | 3O1   | 15/02/2025 14:06 | 15/02/2025 16:33 | 1.47 €
429    | 18-HM-90   | 1Q23  | 02/04/2025 16:59 | 02/04/2025 17:00 | 0.01 €
430    | 49-BS-78   | 1X19  | 07/07/2025 10:54 | 07/07/2025 13:16 | 1.42 €
431    | 56-HB-31   | 3L3   | 27/09/2025 08:32 | 27/09/2025 13:40 | 3.08 €
432    | 55-RN-63   | 1U23  | 17/09/2025 18:33 | 17/09/2025 18:38 | 0.05 €
433    | 70-KN-78   | 2G21  | 24/02/2025 22:30 | 24/02/2025 22:53 | 0.12 €
434    | 97-MY-89   | 1X31  | 26/10/2025 13:29 | 26/10/2025 16:48 | 1.99 €
435    | 52-CW-39   | 3E36  | 18/01/2025 14:32 | 18/01/2025 14:44 | 0.12 €
436    | 72-HP-57   | 3N25  | 18/01/2025 08:30 | 18/01/2025 09:43 | 0.73 €
437    | 64-VR-43   | 2M12  | 26/06/2025 10:42 | 26/06/2025 11:10 | 0.28 €
438    | 64-YS-16   | 2X38  | 07/02/2025 11:11 | 07/02/2025 13:23 | 1.32 €
439    | 99-MX-30   | 3Y17  | 28/06/2025 14:49 | 28/06/2025 17:59 | 1.90 €
440    | 35-NQ-75   | 3T11  | 03/06/2025 13:54 | 03/06/2025 14:21 | 0.27 €
441    | 26-FT-58   | 3J22  | 19/03/2025 12:04 | 19/03/2025 14:22 | 1.38 €
442    | 13-XL-18   | 2Y3   | 04/04/2025 18:33 | 04/04/2025 20:51 | 1.38 €
443    | 58-AM-48   | 1Q11  | 01/12/2025 16:51 | 01/12/2025 19:08 | 1.37 €
444    | 79-NB-37   | 3M30  | 15/05/2025 12:24 | 15/05/2025 12:41 | 0.17 €
445    | 22-FI-51   | 3Y25  | 26/03/2025 10:20 | 26/03/2025 15:48 | 3.28 €
446    | 51-RQ-39   | 3K34  | 10/03/2025 09:30 | 10/03/2025 13:37 | 2.47 €
447    | 61-RW-98   | 2Q39  | 04/09/2025 14:56 | 04/09/2025 16:18 | 0.82 €
448    | 85-CM-90   | 3T28  | 29/03/2025 19:16 | 29/03/2025 19:34 | 0.18 €
449    | 13-KB-11   | 1Y8   | 11/09/2025 15:22 | 11/09/2025 17:33 | 1.31 €
450    | 99-HL-72   | 3G1   | 17/02/2025 10:36 | 17/02/2025 13:37 | 1.81 €
451    | 42-KU-38   | 3R3   | 22/10/2025 16:29 | 22/10/2025 20:32 | 2.43 €
452    | 43-AD-28   | 1S15  | 26/06/2025 18:34 | 26/06/2025 20:57 | 1.43 €
453    | 81-LB-40   | 3T5   | 05/10/2025 14:03 | 05/10/2025 19:08 | 3.05 €
454    | 92-XX-93   | 2B18  | 01/09/2025 09:53 | 01/09/2025 10:53 | 0.60 €
455    | 88-YL-23   | 2O38  | 05/11/2025 13:00 | 05/11/2025 17:17 | 2.57 €
456    | 16-VK-72   | 3C10  | 18/01/2025 09:20 | 18/01/2025 11:33 | 1.33 €
457    | 97-BH-31   | 3G6   | 25/11/2025 17:12 | 25/11/2025 17:34 | 0.22 €
458    | 56-FI-45   | 1D14  | 29/05/2025 10:05 | 29/05/2025 10:21 | 0.16 €
459    | 36-SH-48   | 3S34  | 06/10/2025 18:26 | 06/10/2025 18:55 | 0.29 €
460    | 67-KN-42   | 1P15  | 26/02/2025 16:58 | 26/02/2025 20:16 | 1.98 €
461    | 11-PA-14   | 1K33  | 04/05/2025 14:13 | 04/05/2025 16:35 | 1.42 €
462    | 66-OF-58   | 2C9   | 24/01/2025 15:18 | 24/01/2025 20:28 | 3.10 €
463    | 23-NC-13   | 3A12  | 26/08/2025 11:40 | 26/08/2025 16:59 | 3.19 €
464    | 40-MR-45   | 1O1   | 23/11/2025 22:14 | 23/11/2025 23:27 | 0.36 €
465    | 51-WU-33   | 2O39  | 09/05/2025 14:32 | 09/05/2025 17:59 | 2.07 €
466    | 43-DJ-38   | 2O14  | 16/05/2025 13:06 | 16/05/2025 15:30 | 1.44 €
467    | 33-RD-90   | 2K28  | 26/11/2025 13:36 | 26/11/2025 18:56 | 3.20 €
468    | 85-VX-42   | 1R16  | 25/12/2025 09:16 | 25/12/2025 13:28 | 2.52 €
469    | 21-YV-69   | 3E39  | 09/07/2025 15:49 | 09/07/2025 19:17 | 2.08 €
470    | 40-AY-67   | 1P12  | 17/02/2025 23:09 | 18/02/2025 00:33 | 9.42 €
471    | 35-DR-92   | 1Q21  | 08/12/2025 10:06 | 08/12/2025 15:35 | 3.29 €
472    | 54-PS-75   | 3E17  | 20/07/2025 20:09 | 20/07/2025 20:11 | 0.02 €
473    | 80-GQ-56   | 3P19  | 29/08/2025 08:18 | 29/08/2025 09:19 | 0.61 €
474    | 53-FV-82   | 1C29  | 08/07/2025 17:00 | 08/07/2025 17:22 | 0.22 €
475    | 84-AG-17   | 1A8   | 05/02/2025 11:03 | 05/02/2025 15:25 | 2.62 €
476    | 40-HT-61   | 2O4   | 21/01/2025 11:18 | 21/01/2025 11:20 | 0.02 €
477    | 32-YA-23   | 2N17  | 08/08/2025 22:56 | 09/08/2025 01:57 | 9.91 €
478    | 33-DC-88   | 1V22  | 01/10/2025 16:25 | 01/10/2025 18:50 | 1.45 €
479    | 85-HC-84   | 2I38  | 09/03/2025 18:42 | 09/03/2025 21:51 | 1.89 €
480    | 86-KE-35   | 3Z23  | 09/06/2025 09:05 | 09/06/2025 14:15 | 3.10 €
481    | 25-FY-34   | 2C31  | 16/08/2025 18:57 | 16/08/2025 23:19 | 2.23 €
482    | 89-PX-19   | 2Z24  | 11/03/2025 14:04 | 11/03/2025 19:26 | 3.22 €
483    | 44-MH-63   | 3G21  | 05/08/2025 14:34 | 05/08/2025 17:59 | 2.05 €
484    | 30-PP-61   | 3L30  | 09/05/2025 13:12 | 09/05/2025 14:16 | 0.64 €
485    | 33-SF-31   | 1F3   | 02/09/2025 18:23 | 02/09/2025 22:24 | 2.29 €
486    | 18-VU-38   | 2A25  | 17/08/2025 21:07 | 17/08/2025 23:34 | 1.00 €
487    | 24-CH-94   | 3Z31  | 22/02/2025 13:51 | 22/02/2025 17:54 | 2.43 €
488    | 79-OB-54   | 3G8   | 13/03/2025 11:12 | 13/03/2025 15:34 | 2.62 €
489    | 91-HB-46   | 1F29  | 29/06/2025 12:58 | 29/06/2025 17:02 | 2.44 €
490    | 37-PQ-74   | 1R31  | 25/08/2025 09:03 | 25/08/2025 11:25 | 1.42 €
491    | 51-EN-86   | 3Z32  | 17/02/2025 20:53 | 18/02/2025 01:19 | 10.67 €
492    | 90-FC-42   | 3F39  | 08/12/2025 16:48 | 08/12/2025 18:15 | 0.87 €
493    | 82-CV-56   | 2Q21  | 19/12/2025 23:55 | 20/12/2025 03:19 | 10.02 €
494    | 22-OX-30   | 2N34  | 20/02/2025 20:45 | 21/02/2025 01:46 | 10.88 €
495    | 78-IQ-40   | 1T37  | 25/12/2025 09:41 | 25/12/2025 11:48 | 1.27 €
496    | 25-VD-57   | 1W15  | 02/02/2025 20:20 | 02/02/2025 23:44 | 1.52 €
497    | 71-RB-35   | 2B14  | 04/08/2025 13:06 | 04/08/2025 15:16 | 1.30 €
498    | 88-TW-85   | 3H31  | 04/04/2025 22:24 | 05/04/2025 03:46 | 10.61 €
499    | 32-MO-96   | 3F33  | 10/07/2025 14:47 | 10/07/2025 18:59 | 2.52 €
500    | 24-CG-26   | 1W31  | 14/10/2025 20:33 | 15/10/2025 00:48 | 10.71 €
501    | 82-SR-31   | 1V37  | 26/07/2025 08:12 | 26/07/2025 09:32 | 0.80 €
502    | 60-DH-21   | 1S34  | 03/12/2025 19:08 | 03/12/2025 21:15 | 1.27 €
503    | 32-TD-75   | 1X1   | 16/05/2025 16:03 | 16/05/2025 18:24 | 1.41 €
504    | 10-UI-12   | 2Y29  | 27/12/2025 09:10 | 27/12/2025 11:17 | 1.27 €
505    | 76-EL-38   | 3N32  | 09/05/2025 18:09 | 09/05/2025 18:12 | 0.03 €
506    | 51-OQ-99   | 3J22  | 15/06/2025 18:30 | 15/06/2025 22:52 | 2.36 €
507    | 94-GR-47   | 2R27  | 05/03/2025 14:50 | 05/03/2025 16:59 | 1.29 €
508    | 45-HW-64   | 3J3   | 01/04/2025 11:52 | 01/04/2025 11:54 | 0.02 €
509    | 36-YD-49   | 1U24  | 16/09/2025 11:01 | 16/09/2025 15:19 | 2.58 €
510    | 81-YK-79   | 3W25  | 25/10/2025 22:55 | 26/10/2025 03:12 | 10.29 €
511    | 52-ZM-60   | 2T26  | 01/04/2025 17:03 | 01/04/2025 17:28 | 0.25 €
512    | 96-YJ-83   | 1O18  | 11/08/2025 18:16 | 11/08/2025 21:44 | 2.08 €
513    | 52-FH-31   | 3Y4   | 24/10/2025 18:46 | 24/10/2025 19:14 | 0.28 €
514    | 79-SX-29   | 2U39  | 16/10/2025 21:19 | 16/10/2025 22:24 | 0.53 €
515    | 87-KA-19   | 2D40  | 21/11/2025 21:59 | 22/11/2025 00:09 | 9.66 €
516    | 80-SF-62   | 3Z39  | 21/09/2025 23:04 | 21/09/2025 23:32 | 0.14 €
517    | 87-BX-20   | 2O18  | 28/04/2025 15:00 | 28/04/2025 18:11 | 1.91 €
518    | 77-BA-28   | 2D26  | 12/09/2025 23:50 | 13/09/2025 04:15 | 10.33 €
519    | 10-QB-89   | 2H19  | 03/05/2025 15:26 | 03/05/2025 20:54 | 3.28 €
520    | 52-VW-33   | 3I1   | 27/12/2025 08:46 | 27/12/2025 13:00 | 2.54 €
521    | 73-ON-65   | 2I15  | 17/08/2025 13:11 | 17/08/2025 16:37 | 2.06 €
522    | 53-QE-33   | 3Z16  | 10/05/2025 22:07 | 11/05/2025 02:32 | 10.33 €
523    | 33-DH-80   | 3H34  | 25/02/2025 14:17 | 25/02/2025 18:26 | 2.49 €
524    | 81-YK-62   | 3T18  | 05/08/2025 13:32 | 05/08/2025 16:01 | 1.49 €
525    | 38-RH-28   | 2A19  | 11/03/2025 08:00 | 11/03/2025 09:02 | 0.62 €
526    | 97-VF-89   | 2K30  | 05/04/2025 23:17 | 06/04/2025 03:26 | 10.25 €
527    | 57-AJ-38   | 2N16  | 10/04/2025 14:01 | 10/04/2025 15:10 | 0.69 €
528    | 77-WZ-43   | 1Z38  | 04/12/2025 09:11 | 04/12/2025 09:33 | 0.22 €
529    | 93-HG-47   | 2T22  | 12/03/2025 17:17 | 12/03/2025 21:35 | 2.58 €
530    | 75-VC-52   | 2H23  | 12/08/2025 12:30 | 12/08/2025 16:44 | 2.54 €
531    | 12-PK-57   | 1N16  | 16/04/2025 09:59 | 16/04/2025 10:05 | 0.06 €
532    | 97-LO-86   | 1V18  | 29/07/2025 20:22 | 29/07/2025 23:51 | 1.53 €
533    | 42-ZU-28   | 1S32  | 15/04/2025 21:57 | 16/04/2025 02:06 | 10.26 €
534    | 68-SY-66   | 1T24  | 26/05/2025 20:12 | 26/05/2025 21:33 | 0.81 €
535    | 25-MX-56   | 1P4   | 01/11/2025 20:45 | 02/11/2025 01:01 | 10.66 €
536    | 66-TP-55   | 3T23  | 08/07/2025 16:13 | 08/07/2025 21:38 | 3.25 €
537    | 51-WF-27   | 3U12  | 28/04/2025 11:39 | 28/04/2025 12:42 | 0.63 €
538    | 92-VO-10   | 1M3   | 28/04/2025 11:30 | 28/04/2025 15:45 | 2.55 €
539    | 46-WI-69   | 3Q10  | 25/10/2025 19:07 | 25/10/2025 22:08 | 1.77 €
540    | 42-QG-21   | 3P2   | 13/07/2025 23:14 | 14/07/2025 02:23 | 9.95 €
